Datetime,Total_Demand_MWh,Battery storage Generation (MWh),Unknown energy storage Generation (MWh),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Natural Gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh),Actual_Demand_MWh,Forecast_Demand_MWh,CO2_Emissions_tons,Temperature_C,Total_Generation_MWh,CO2_Intensity_ton_per_MWh
2025-06-16 00:00:00,54355.0,134.0,-969.0,11587.0,0.0,160.0,6.0,29354.0,7787.0,5021.0,53298.0,58117.0,20548.931,28.3,53080.0,0.3871313300678222
2025-06-16 01:00:00,51345.0,199.0,-622.0,11466.0,0.0,137.0,6.0,27288.0,7106.0,5022.0,50661.0,53680.0,20548.931,27.2,50602.0,0.40608930477056243
2025-06-16 02:00:00,49370.0,106.0,-707.0,11581.0,1.0,137.0,6.0,25706.0,6664.0,5023.0,48618.0,51255.0,20548.931,26.1,48517.0,0.42354084135457676
2025-06-16 03:00:00,47695.0,71.0,-459.0,11190.0,1.0,149.0,6.0,24782.0,6339.0,5023.0,47203.0,49508.0,20548.931,25.6,47102.0,0.4362645110611014
2025-06-16 04:00:00,47195.0,81.0,-527.0,11169.0,1.0,155.0,6.0,24374.0,6284.0,5023.0,46667.0,48475.0,20548.931,25.6,46566.0,0.441286152987158
2025-06-16 05:00:00,47140.0,229.0,-210.0,10007.0,1.0,155.0,6.0,24911.0,6754.0,5024.0,46930.0,48356.0,20548.931,25.0,46877.0,0.43835849137103483
2025-06-16 06:00:00,48000.0,370.0,-173.0,7961.0,1.0,155.0,6.0,26559.0,7916.0,5024.0,47871.0,48951.0,20548.931,25.0,47819.0,0.429723143520358
2025-06-16 06:00:00,48000.0,370.0,-173.0,7961.0,1.0,155.0,6.0,26559.0,7916.0,5024.0,47871.0,48951.0,20548.931,999.9,47819.0,0.429723143520358
2025-06-16 07:00:00,49370.0,800.0,-102.0,6634.0,202.0,140.0,6.0,28301.0,8233.0,5025.0,49291.0,50505.0,20548.931,24.4,49239.0,0.41733038851317045
2025-06-16 08:00:00,51124.0,66.0,-573.0,5775.0,5138.0,137.0,6.0,27031.0,8030.0,5025.0,50639.0,52040.0,20548.931,23.9,50635.0,0.40582464698331194
